procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     15  63026    213    246    0    0     0    12 3225 2908  3  0 97  0  0	
 1  0     15  63026    213    246    0    0     0     0 3056 2532  3  0 97  0  0	
 1  0     15  63027    213    246    0    0     0     0 3161 2707  3  0 97  0  0	
 1  0     15  63027    213    246    0    0     0     4 3028 2460  3  0 97  0  0	
 1  0     15  63027    213    246    0    0     0     0 3004 2373  3  0 97  0  0	
 1  0     15  63027    213    246    0    0     0     3 2996 2384  3  0 97  0  0	
 1  0     15  63027    213    246    0    0     0     3 3001 2388  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3262 2944  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3393 3238  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3516 3470  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3239 2909  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3014 2423  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 2967 2380  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 2942 2363  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 2958 2358  3  0 97  0  0	
 1  0     15  63028    213    246    0    0     0     0 3006 2389  3  0 97  0  0	
